x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.584932,43188.939842,6.786884,0,0,-0.257591,0.966254,6.41318594216253
89631.202639,43188.791627,6.790896,0,0,-0.257591,0.966254,6.00391833715634
89631.760174,43188.619354,6.797645,0,0,-0.257591,0.966254,5.60166811856272
89632.27352,43188.377331,6.804108,0,0,-0.307613,0.951512,5.18057744361186
89632.697488,43188.072386,6.813624,0,0,-0.307613,0.951512,5.47465573303566
89633.085203,43187.71943,6.821627,0,0,-0.307613,0.951512,5.7547992776571
89633.418705,43187.349866,6.827803,0,0,-0.307613,0.951512,6.00870138985188
89633.69701,43187.010889,6.833268,0,0,-0.307613,0.951512,6.22382663396861
89634.094846,43186.554833,6.835986,0,0,-0.307613,0.951512,6.50900805331971
89634.419512,43186.173805,6.845487,0,0,-0.285239,0.958457,6.73577952723958
89634.712794,43185.767446,6.85771,0,0,-0.285239,0.958457,6.61446554194202
89635.143364,43185.298057,6.868096,0,0,-0.285239,0.958457,6.89731160808219
89635.645882,43184.828633,6.879426,0,0,-0.285239,0.958457,7.19019455699434
89636.163881,43184.30483,6.897504,0,0,-0.285239,0.958457,7.49125876688295
89636.796031,43183.674365,6.911666,0,0,-0.163097,0.98661,7.37610753390212
89637.437405,43183.019018,6.925333,0,0,-0.163097,0.98661,6.86084359201507
89638.062627,43182.394005,6.943505,0,0,-0.163097,0.98661,6.32445867427898
89638.67296,43181.88679,6.959313,0,0,-0.010237,0.999948,5.80087202917322
89639.370762,43181.522109,6.973799,0,0,-0.010237,0.999948,6.19469254208996
89640.131849,43181.260515,6.987571,0,0,-0.010237,0.999948,6.57289493727962
89640.830501,43181.042103,7.008129,0,0,-0.010237,0.999948,6.77800880734924
89641.520504,43180.928847,7.021345,0,0,0.09309,0.995658,7.08073581815341
89642.170028,43180.886798,7.033568,0,0,0.09309,0.995658,7.25343892419027
89642.919683,43180.866622,7.05285,0,0,0.09309,0.995658,6.82736878861429
89643.692168,43180.866517,7.067633,0,0,0.09309,0.995658,6.35870148054646
89644.363175,43180.909172,7.086734,0,0,0.09309,0.995658,5.92065818747906
89645.04063,43181.074631,7.099775,0,0,0.178075,0.984017,6.2640562451852
89645.623793,43181.275996,7.116009,0,0,0.178075,0.984017,6.02326611918079
89646.181241,43181.545463,7.124009,0,0,0.178075,0.984017,5.59700314493528
89646.666481,43181.895865,7.132219,0,0,0.178075,0.984017,5.90911419007474
89647.193588,43182.228798,7.138067,0,0,0.178075,0.984017,6.21758092509336
89647.923218,43182.585102,7.139807,0,0,0.241111,0.970498,6.59774174211036
89648.695631,43182.978877,7.136676,0,0,0.241111,0.970498,6.98084285786571
89649.626847,43183.408819,7.136778,0,0,0.241111,0.970498,7.40852408805609
89650.638155,43183.91142,7.134648,0,0,0.233975,0.972243,7.85252298408681
89651.689108,43184.4633,7.126933,0,0,0.233975,0.972243,8.29363502543648
89652.734915,43184.929314,7.120547,0,0,0.233975,0.972243,8.69793110431203
89653.753656,43185.397194,7.113784,0,0,0.197508,0.980301,9.07635849870872
89654.789338,43185.78253,7.099159,0,0,0.197508,0.980301,8.89647264294702
89655.879234,43186.227114,7.070749,0,0,0.056364,0.99841,8.35048192947602
89656.964682,43186.626859,7.038013,0,0,0.056364,0.99841,7.77668407449761
89658.126776,43186.871253,7.000985,0,0,0.056364,0.99841,7.13979681126795
89659.372266,43186.985128,6.94092,0,0,-0.145469,0.989363,6.40087641414689
89660.561265,43186.94925,6.905383,0,0,-0.145469,0.989363,5.60846658056994
89661.690434,43186.503846,6.876285,0,0,-0.42261,0.906311,5.52337232261449
89662.558552,43185.729855,6.847357,0,0,-0.42261,0.906311,6.12257758872317
89663.279753,43184.637303,6.826274,0,0,-0.61422,0.789135,6.73354951854564
89663.829878,43183.577502,6.814664,0,0,-0.61422,0.789135,6.71940973074306
89664.137477,43182.443257,6.805328,0,0,-0.72301,0.690837,5.97902600776825
89664.107996,43181.315575,6.796316,0,0,-0.72301,0.690837,6.52051806014821
89663.822686,43180.245946,6.793096,0,0,-0.883558,0.468321,6.52219122882245
89663.304391,43179.283416,6.791028,0,0,-0.883558,0.468321,6.46753763403783
89662.606318,43178.495934,6.788728,0,0,-0.980175,0.198135,6.93852462143825
89661.815493,43177.88148,6.787211,0,0,-0.980175,0.198135,7.12236945958423
89660.924983,43177.415261,6.785406,0,0,-0.997178,0.075072,7.53386827315976
89660.088115,43177.085536,6.789259,0,0,-0.997178,0.075072,7.88391140302096
89659.270056,43176.830587,6.798655,0,0,-0.997178,0.075072,8.20349045433701
89658.470144,43176.557056,6.810661,0,0,-0.997254,0.074058,8.50703091112958
89657.584491,43176.182646,6.821306,0,0,-0.997254,0.074058,8.83961708736099
89656.789851,43175.839025,6.833105,0,0,-0.997254,0.074058,9.12871008306993
89656.068873,43175.49951,6.850766,0,0,-0.997254,0.074058,9.38695164043745
89655.249486,43175.157968,6.866224,0,0,-0.999403,0.034559,9.66649773081697
89654.394596,43174.790186,6.885036,0,0,-0.999403,0.034559,9.95113308398328
89653.613209,43174.413825,6.899279,0,0,-0.999403,0.034559,10.2092538091307
89652.902488,43174.00579,6.914458,0,0,-0.999403,0.034559,9.94981871006686
89652.289339,43173.605772,6.932877,0,0,-0.98346,0.181125,9.65101631595589
89651.601482,43173.211355,6.946918,0,0,-0.98346,0.181125,9.31658772848008
89651.044789,43172.902829,6.963997,0,0,-0.98346,0.181125,9.03919457453702
89650.4858,43172.580579,6.98066,0,0,-0.947133,0.320841,8.74901412037724
89649.896583,43172.269418,6.99227,0,0,-0.947133,0.320841,8.4388740385987
89649.363096,43171.963649,7.005331,0,0,-0.947133,0.320841,8.14219799596741
89648.613804,43171.597311,7.013692,0,0,-0.947133,0.320841,7.72159151969967
89647.849201,43171.208224,7.024606,0,0,-0.835952,0.548803,7.26358796852236
89647.010061,43170.780956,7.035733,0,0,-0.835952,0.548803,6.7250629188238
89646.086383,43170.232439,7.039605,0,0,-0.642321,0.766436,6.05246449605255
89645.399404,43169.541602,7.035943,0,0,-0.642321,0.766436,5.49038861132289
89644.953736,43168.719025,7.015316,0,0,-0.642321,0.766436,5.2282294050856
89644.778541,43167.641101,6.973222,0,0,-0.476306,0.87928,5.8212364015494
89644.913085,43166.517372,6.93311,0,0,-0.476306,0.87928,6.37787755540747
89645.270793,43165.38927,6.885759,0,0,-0.476306,0.87928,6.91216758529407
89645.712521,43164.313527,6.821311,0,0,-0.402601,0.915376,6.50111385980036
89646.293089,43163.289681,6.772437,0,0,-0.402601,0.915376,5.73136219125719
89647.262588,43162.446132,6.709436,0,0,-0.212259,0.977213,6.36860754763776
89648.339605,43161.929903,6.659565,0,0,-0.212259,0.977213,6.90834474542695
89649.466977,43161.475364,6.624372,0,0,-0.212259,0.977213,7.41744939780555
89650.678815,43160.946293,6.58272,0,0,-0.195738,0.980656,7.93425064324601
89651.885143,43160.44979,6.530829,0,0,-0.195738,0.980656,8.41304845913123
89653.114385,43160.01278,6.493558,0,0,-0.052785,0.998606,8.36637925572343
89654.347874,43159.618145,6.474616,0,0,-0.052785,0.998606,7.72241301719873
89655.707989,43159.133485,6.459894,0,0,-0.052785,0.998606,6.93430393581643
89657.02358,43158.783093,6.453192,0,0,0.141186,0.989983,6.09860206824205
89658.308384,43158.862289,6.448091,0,0,0.141186,0.989983,6.70197003517287
89659.44875,43159.224323,6.44483,0,0,0.351021,0.936368,7.17532142226775
89660.555972,43159.84339,6.447513,0,0,0.351021,0.936368,6.42938150973446
89661.454835,43160.543683,6.452812,0,0,0.351021,0.936368,5.67637921884239
89662.063829,43161.438992,6.462506,0,0,0.53549,0.844542,6.22238460022385
89662.532593,43162.448679,6.468013,0,0,0.53549,0.844542,6.73774828992267
89662.936279,43163.490044,6.471071,0,0,0.53549,0.844542,7.2179280305129
89663.381189,43164.549592,6.475194,0,0,0.511028,0.859564,7.6807221327063
89663.865335,43165.689945,6.481089,0,0,0.511028,0.859564,8.15025894084064
89664.359959,43166.806401,6.488568,0,0,0.424725,0.905322,8.58798132446271
89664.915074,43167.98915,6.495385,0,0,0.424725,0.905322,8.27448798985879
89665.424454,43169.019904,6.504019,0,0,0.424725,0.905322,7.69864682065986
89665.986532,43170.014181,6.51213,0,0,0.112211,0.993684,7.08038992674323
89666.735475,43170.869085,6.521113,0,0,0.112211,0.993684,6.58532353426232
89667.596397,43171.487531,6.528153,0,0,0.112211,0.993684,6.25487221325509
89668.599709,43171.933483,6.531548,0,0,-0.230744,0.973015,5.50815536916228
89669.623057,43172.037721,6.531168,0,0,-0.230744,0.973015,5.99027696678333
89670.699404,43171.85836,6.532571,0,0,-0.230744,0.973015,6.31025540144351
89671.64432,43171.578629,6.536393,0,0,-0.230744,0.973015,5.65116864806511
89672.483745,43171.043073,6.541295,0,0,-0.323006,0.946397,6.1571109917296
89673.188853,43170.410748,6.545245,0,0,-0.323006,0.946397,6.60247373613881
89673.780524,43169.630245,6.54767,0,0,-0.323006,0.946397,7.03343209882931
89674.270783,43168.890567,6.54729,0,0,-0.323006,0.946397,7.40226739554378
89674.705134,43168.063487,6.547446,0,0,-0.424476,0.905439,7.77166252731
89675.269907,43167.142457,6.547475,0,0,-0.424476,0.905439,8.17808903242184
89675.837798,43166.119278,6.547434,0,0,-0.424476,0.905439,8.59665112133644
89676.398377,43165.206874,6.545194,0,0,-0.509104,0.860705,8.96256319044736
89677.009646,43164.303476,6.543887,0,0,-0.509104,0.860705,9.19844731363866
89677.623335,43163.43742,6.542009,0,0,-0.601335,0.798997,8.72466999898474
89678.23041,43162.563677,6.542458,0,0,-0.601335,0.798997,8.22242981102122
89678.811188,43161.756752,6.543549,0,0,-0.601335,0.798997,7.72364955537184
89679.404328,43161.032784,6.54374,0,0,-0.706174,0.708039,7.22270094619004
89680.002983,43160.303231,6.54411,0,0,-0.706174,0.708039,6.67963550576245
89680.604458,43159.536844,6.545164,0,0,-0.706174,0.708039,6.06825364738316
89681.089542,43158.77432,6.546707,0,0,-0.706174,0.708039,5.44001539534075
89681.327997,43158.028191,6.547179,0,0,-0.808032,0.589138,5.51421496616781
89681.383714,43157.160715,6.546332,0,0,-0.808032,0.589138,5.29663670368157
89681.22814,43156.397328,6.544305,0,0,-0.808032,0.589138,5.72091165008309
89681.018605,43155.535339,6.541827,0,0,-0.808032,0.589138,6.16857961374909
89680.775969,43154.666793,6.540377,0,0,-0.885312,0.464997,6.59258509632677
89680.568551,43153.731002,6.542742,0,0,-0.885312,0.464997,7.01521155699252
89680.346413,43152.885298,6.546573,0,0,-0.885312,0.464997,6.52784021331546
89680.00366,43152.148236,6.552795,0,0,-0.885312,0.464997,6.88887967925107
89679.554271,43151.475888,6.558211,0,0,-0.940498,0.339798,6.92832056503572
89679.075903,43150.758448,6.559669,0,0,-0.940498,0.339798,6.41118163374782
89678.539541,43150.202322,6.557448,0,0,-0.940498,0.339798,6.56493589686367
89677.977259,43149.641986,6.551096,0,0,-0.940498,0.339798,6.06200357843915
89677.352291,43149.127182,6.544269,0,0,-0.940498,0.339798,5.50184666113022
89676.594195,43148.767227,6.5378,0,0,-0.97392,0.226892,5.94185072111783
89675.832646,43148.410032,6.53328,0,0,-0.97392,0.226892,6.35236429733201
89675.048032,43148.13001,6.529058,0,0,-0.97392,0.226892,6.73431846313833
89674.307141,43147.943203,6.521952,0,0,-0.97392,0.226892,7.06650674911217
89673.481721,43147.734658,6.51647,0,0,-0.989185,0.146673,7.41914154251555
89672.748727,43147.56882,6.50926,0,0,-0.989185,0.146673,7.71704488585712
89671.84266,43147.345377,6.502145,0,0,-0.989185,0.146673,8.0716821239578
89670.990072,43147.21192,6.491943,0,0,-0.989185,0.146673,8.38629070451935
89670.013829,43147.020061,6.483416,0,0,-0.997181,0.07503,7.98383169914057
89669.117402,43146.91908,6.476074,0,0,-0.997181,0.07503,7.51829732576165
89668.248613,43146.944241,6.46711,0,0,-0.997181,0.07503,7.8574623310379
89667.239303,43147.023785,6.459041,0,0,-0.996143,0.087748,8.23494698377696
89666.070484,43147.173954,6.448658,0,0,-0.996143,0.087748,8.65360674657454
89664.948184,43147.265996,6.443153,0,0,-0.996143,0.087748,8.61975874596885
89663.812077,43147.330052,6.440537,0,0,-0.996104,0.088186,8.0744628227875
89662.69592,43147.357757,6.438571,0,0,-0.996104,0.088186,7.50099617056689
89661.571201,43147.391641,6.429911,0,0,-0.919541,0.392995,6.87481703270696
89660.526646,43147.34512,6.424619,0,0,-0.919541,0.392995,6.2368570431977
89659.418592,43147.33711,6.42255,0,0,-0.919541,0.392995,5.48030310901833
89658.438258,43147.064803,6.419547,0,0,-0.919541,0.392995,4.67911496483551
89657.673134,43146.438023,6.416219,0,0,-0.919541,0.392995,5.27527842397665
89657.056815,43145.642974,6.411385,0,0,-0.825807,0.563953,5.81930511438667
89656.671302,43144.750798,6.406903,0,0,-0.825807,0.563953,6.01640482950049
89656.50992,43143.764371,6.40098,0,0,-0.825807,0.563953,6.49571963445213
89656.32733,43142.767495,6.395617,0,0,-0.795063,0.606527,6.59653844712269
89656.291703,43141.848757,6.386338,0,0,-0.795063,0.606527,6.01322636838988
89656.317352,43140.934945,6.383208,0,0,-0.795063,0.606527,5.37080219761572
89656.393037,43140.00898,6.377231,0,0,-0.795063,0.606527,4.62742828952052
89656.422867,43139.126941,6.371444,0,0,-0.721723,0.692182,3.78850186763742
89656.5041041,43138.8769667333,0,0,0,-0.747237680724211,0.664556881317094,3.5
89656.238542,43137.9077219,0,0,0,-0.721722768504304,0.692182234258062,4.2754885466656
89656.1935923191,43136.8324732965,0,0,0,-0.703941824894165,0.710257634358599,4.97362329704353
