s_m,x,y,z,x_quat,y_quat,z_quat,w_quat,target_velocity,heading_rad,curvature_1pm,turn_radius_m,v_limit_mps,v_kappa_mps,v_ref_mps,v_ref_kmh,t_ref_s
214.06715066787584,89646.542949,43166.914366,0,0,0,-0.999402657125303,0.0345590643809229,10.271,-1.4003747999822076,0.21680279761877366,4.612486605262361,10.0,,10.0,36.0,21.80826267057535
216.3522718305428,89647.638481,43164.842971,0,0,0,-0.983460130958662,0.18112473827385,10.271,-0.9199546354264436,0.15098794815681274,6.6230451649122495,10.0,,10.0,36.0,22.042588674447295
218.87356135748226,89649.497343,43163.172394,0,0,0,-0.94713302688933,0.320841127936329,10.271,-0.6805887375597777,0.060780365454421684,16.452681594188267,10.0,,10.0,36.0,22.292512571822876
221.717974710868,89651.793231,43161.524297,0,0,0,-0.835951507584793,0.548803313552962,10.271,-0.6202230636694497,0.015581696113783485,64.17786566350793,10.0,,10.0,36.0,22.575131138622382
224.81495866197443,89654.429531,43159.651133,0,0,0,-0.642320512263706,0.766436141844375,10.271,-0.5882004690892543,0.06316249016824685,15.832181368028483,10.0,,10.0,36.0,22.89853214450985
227.75607824032724,89657.05234,43158.005449,0,0,0,-0.476305594603194,0.879279807882393,10.271,-0.20440659063086125,0.18948623700646486,5.277428143585342,10.0,,10.0,36.0,23.208167460297798
230.33092748002727,89659.696189,43158.301969,0,0,0,-0.402600725892237,0.915375690911138,10.271,0.43829777931237507,0.2263452814374846,4.418028923108763,10.0,,10.0,36.0,23.47420996902908
232.7308618047648,89661.50175,43159.967176,0,0,0,-0.212259155361099,0.977213411167383,10.271,0.9507349276252789,0.14349002910565864,6.969125354791389,10.0,,10.0,36.0,23.719830914340502
235.0751841968276,89662.4675,43162.143789,0,0,0,-0.195737555375083,0.980656315645694,10.271,1.1606314747376065,0.04552028786938692,21.96822662609994,10.0,,10.0,36.0,23.957955193117133
237.43153444650133,89663.351923,43164.222594,0,0,0,-0.0527849396953557,0.998605903317899,10.271,1.1601053214260735,-0.013976759592374004,71.54734209963944,10.0,,10.0,36.0,24.183867438711207
239.87954838215055,89664.379333,43166.530447,0,0,0,0.141186123044819,0.989983069885326,10.271,1.0934215317570397,-0.06850699036109667,14.597050530596274,10.0,,10.0,36.0,24.43648883087192
242.30543339780513,89665.649968,43168.67095,0,0,0,0.351020823749373,0.936367652844924,10.271,0.8052210300771374,-0.1566968651595491,6.3817486009167945,10.0,,10.0,36.0,24.685411838973373
244.57823868522743,89667.583557,43169.964327,0,0,0,0.535490075291626,0.844541520154083,10.271,0.3567373922969217,-0.1834298306763262,5.4516759695677015,10.0,,10.0,36.0,24.91804009360044
246.70820726639744,89669.744583,43170.266671,0,0,0,0.511027774299131,0.859564199984432,10.271,-0.028816945836827805,-0.17900881669144178,5.5863170232765915,10.0,,10.0,36.0,25.136247455231903
248.72860651078022,89671.708045,43169.881989,0,0,0,0.424724845529993,0.905322487067191,10.271,-0.3929200114151566,-0.1642624227045104,6.087819621404752,10.0,,10.0,36.0,25.336326521267406
250.65789789270397,89673.412619,43168.7842,0,0,0,0.11221051395473,0.993684457238824,10.271,-0.7042776033302884,-0.12863898963860015,7.773692896760239,10.0,,10.0,36.0,25.539075459857887
252.55346171738938,89674.580118,43167.453944,0,0,0,-0.919540658824508,0.392994881351641,10.271,-0.8779999623986297,-0.05807660532030177,17.21863725479201,10.0,,10.0,36.0,25.71606797214433
